query,label,type,file_path,score,snippet
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/01_linux_basics.md,0.3434,"File permissions are another important concept. Every file has read, write, and "
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/04_web_security.md,0.7726,"Authentication verifies identity, while authorization determines permitted actio"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/04_web_security.md,0.7864,# Web Security Essentials  Web security focuses on protecting applications and u
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/01_linux_basics.md,0.7885,"Learning a handful of commands such as `ls`, `cd`, `pwd`, `cp`, `mv`, `rm`, and "
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/04_web_security.md,0.7999,"Common vulnerabilities include SQL Injection, Cross-Site Scripting (XSS), and Cr"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/04_web_security.md,0.8009,"Regular software updates, dependency scanning, logging, monitoring, and security"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/01_linux_basics.md,0.8287,A Linux file system starts from the root directory (`/`). Common directories inc
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/02_git_workflow.md,0.8287,"Git stores snapshots instead of complete file copies whenever possible, making i"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/01_beekeeping.md,0.8423,Modern hives are designed with removable frames that allow beekeepers to inspect
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/README.md,0.85,### v1.1.0 - Added unauthenticated mode (no token required) - Added --token flag
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/01_linux_basics.md,0.8625,"Package managers simplify software installation. Debian-based systems use `apt`,"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/README.md,0.8639,## Features  * **Asynchronous Data Retrieval:** Utilizes `aiohttp` and `asyncio`
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/01_beekeeping.md,0.8679,"Responsible beekeeping emphasizes disease management, habitat conservation, and "
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/02_git_workflow.md,0.8818,A typical workflow begins with cloning a repository using `git clone`. Developer
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_dsa_handbook.md,0.8841,"Trees enable hierarchical organization, whereas graphs model relationships betwe"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_waste_management.md,0.8865,"Modern approaches emphasize reducing waste generation, reusing products, compost"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_waste_management.md,0.8865,"Modern approaches emphasize reducing waste generation, reusing products, compost"
what is chmod used for,relevant,text,/home/ssrivastava/Downloads/test/06_waste_management.md,0.8865,"Modern approaches emphasize reducing waste generation, reusing products, compost"
what is chmod used for,relevant,image,/home/ssrivastava/Downloads/test/taj2.jpg,0.8759,
what is chmod used for,relevant,image,/home/ssrivastava/Downloads/test/taj1.jpg,0.8765,
what is chmod used for,relevant,image,/home/ssrivastava/Downloads/test/dog.jpg,0.8782,
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/02_git_workflow.md,0.342,# Git Workflow  Git is a distributed version control system designed to track ch
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/02_git_workflow.md,0.3827,"Git stores snapshots instead of complete file copies whenever possible, making i"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/02_git_workflow.md,0.4229,A typical workflow begins with cloning a repository using `git clone`. Developer
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/02_git_workflow.md,0.4773,"Branches isolate work, making experimentation safer. Once a feature is complete,"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/README.md,0.4847,# GitInsight <sub>`v1.1.0`</sub>  A high-performance CLI tool for analyzing GitH
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/README.md,0.5168,Engineered with asynchronous Python to ensure rapid data retrieval without rate-
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/02_git_workflow.md,0.5346,"Good commit messages are concise but descriptive. Instead of writing ""fixed stuf"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/README.md,0.589,## Features  * **Asynchronous Data Retrieval:** Utilizes `aiohttp` and `asyncio`
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/README.md,0.5916,"## Usage  Once installed, the `gitinsight` command is registered globally on you"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/README.md,0.635,<br>  The token is securely stored in your local home directory (`~/.gitinsight`
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/README.md,0.6385,## Local Development  To run the project locally for development or contribution
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/README.md,0.6578,### v1.0.1 - Fixed crash when entering a nonexistent GitHub username
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/README.md,0.6725,### Getting Your Token  1. Go to [GitHub Settings → Developer Settings → Persona
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/README.md,0.6925,**Generate a PDF Report:** Append the `-r` or `--report` flag to automatically g
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/README.md,0.6985,### v1.1.0 - Added unauthenticated mode (no token required) - Added --token flag
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/README.md,0.6991,## Installation GitInsight is available on the Python Package Index (PyPI). It r
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/README.md,0.7011,**Enable Verbose Logging:** Append the `-v` or `--verbose` flag to view underlyi
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/02_nato.md,0.7017,"Member nations regularly conduct joint exercises, share intelligence, and coordi"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/04_web_security.md,0.7066,"Regular software updates, dependency scanning, logging, monitoring, and security"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/05_cloud_computing_guide.md,0.7112,"Real-world architectures frequently combine load balancers, application servers,"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/05_cloud_computing_guide.md,0.7112,"Real-world architectures frequently combine load balancers, application servers,"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/05_cloud_computing_guide.md,0.7112,"Real-world architectures frequently combine load balancers, application servers,"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/05_cloud_computing_guide.md,0.7112,"Real-world architectures frequently combine load balancers, application servers,"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/05_cloud_computing_guide.md,0.7112,"Real-world architectures frequently combine load balancers, application servers,"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/05_cloud_computing_guide.md,0.7112,"Real-world architectures frequently combine load balancers, application servers,"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/05_cloud_computing_guide.md,0.7112,"Real-world architectures frequently combine load balancers, application servers,"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/05_cloud_computing_guide.md,0.7112,"Real-world architectures frequently combine load balancers, application servers,"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/05_cloud_computing_guide.md,0.7112,"Real-world architectures frequently combine load balancers, application servers,"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/05_cloud_computing_guide.md,0.7112,"Real-world architectures frequently combine load balancers, application servers,"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/05_cloud_computing_guide.md,0.7112,"Real-world architectures frequently combine load balancers, application servers,"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/05_cloud_computing_guide.md,0.7112,"Real-world architectures frequently combine load balancers, application servers,"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/05_cloud_computing_guide.md,0.7112,"Real-world architectures frequently combine load balancers, application servers,"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/05_cloud_computing_guide.md,0.7112,"Real-world architectures frequently combine load balancers, application servers,"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/05_cloud_computing_guide.md,0.7112,"Real-world architectures frequently combine load balancers, application servers,"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/05_cloud_computing_guide.md,0.7112,"Real-world architectures frequently combine load balancers, application servers,"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/05_cloud_computing_guide.md,0.7112,"Real-world architectures frequently combine load balancers, application servers,"
how does git help developers collaborate,relevant,text,/home/ssrivastava/Downloads/test/05_cloud_computing_guide.md,0.7112,"Real-world architectures frequently combine load balancers, application servers,"
